"Country","Year","Age","Mxm","Mxf","AgeInt","AgeWidth"
"Brazil",2011,"<1",0.01541,0.01268,0,1
"Brazil",2011,"1-4",0.00047,0.00039,1,4
"Brazil",2011,"5-9",0.00027,0.00022,5,5
"Brazil",2011,"10-14",4e-04,0.00028,10,5
"Brazil",2011,"15-19",0.00183,0.00052,15,5
"Brazil",2011,"20-24",0.00271,0.00062,20,5
"Brazil",2011,"25-29",0.00262,0.00075,25,5
"Brazil",2011,"30-34",0.00287,0.00103,30,5
"Brazil",2011,"35-39",0.00338,0.00139,35,5
"Brazil",2011,"40-44",0.00443,0.00208,40,5
"Brazil",2011,"45-49",0.0059,0.0031,45,5
"Brazil",2011,"50-54",0.00882,0.00472,50,5
"Brazil",2011,"55-59",0.01257,0.00696,55,5
"Brazil",2011,"60-64",0.01834,0.01074,60,5
"Brazil",2011,"65-69",0.02753,0.01693,65,5
"Brazil",2011,"70-74",0.04081,0.02653,70,5
"Brazil",2011,"75-79",0.06112,0.04303,75,5
"Brazil",2011,"80-84",0.08195,0.06683,80,5
"Brazil",2011,"85-89",0.1152,0.10485,85,5
"Brazil",2011,"90-94",0.16976,0.16619,90,5
"Brazil",2011,"95-99",0.26225,0.26607,95,5
"Brazil",2011,"100+",0.42473,0.43032,100,5
"China",2011,"<1",0.01291,0.01255,0,1
"China",2011,"1-4",0.00051,5e-04,1,4
"China",2011,"5-9",0.00022,0.00021,5,5
"China",2011,"10-14",0.00027,0.00021,10,5
"China",2011,"15-19",0.00059,0.00046,15,5
"China",2011,"20-24",0.00095,0.00071,20,5
"China",2011,"25-29",0.00107,0.00082,25,5
"China",2011,"30-34",0.00134,0.00098,30,5
"China",2011,"35-39",0.00147,0.00102,35,5
"China",2011,"40-44",0.00223,0.00151,40,5
"China",2011,"45-49",0.00307,0.0022,45,5
"China",2011,"50-54",0.00501,0.00365,50,5
"China",2011,"55-59",0.00798,0.00564,55,5
"China",2011,"60-64",0.01352,0.00963,60,5
"China",2011,"65-69",0.02525,0.01755,65,5
"China",2011,"70-74",0.04418,0.03174,70,5
"China",2011,"75-79",0.06777,0.0506,75,5
"China",2011,"80-84",0.11356,0.08768,80,5
"China",2011,"85-89",0.15335,0.12557,85,5
"China",2011,"90-94",0.31303,0.26505,90,5
"China",2011,"95-99",0.44621,0.39911,95,5
"China",2011,"100+",0.65233,0.59919,100,5
"Malawi",2000,"<1",0.11027,0.101,0,1
"Malawi",2000,"1-4",0.01994,0.01814,1,4
"Malawi",2000,"5-9",0.00387,0.00376,5,5
"Malawi",2000,"10-14",0.00242,0.00232,10,5
"Malawi",2000,"15-19",0.00253,0.00296,15,5
"Malawi",2000,"20-24",0.0045,0.00663,20,5
"Malawi",2000,"25-29",0.00958,0.01645,25,5
"Malawi",2000,"30-34",0.01624,0.02144,30,5
"Malawi",2000,"35-39",0.02343,0.02232,35,5
"Malawi",2000,"40-44",0.02513,0.01852,40,5
"Malawi",2000,"45-49",0.02518,0.01728,45,5
"Malawi",2000,"50-54",0.02021,0.01386,50,5
"Malawi",2000,"55-59",0.02313,0.01578,55,5
"Malawi",2000,"60-64",0.0292,0.02145,60,5
"Malawi",2000,"65-69",0.04077,0.03295,65,5
"Malawi",2000,"70-74",0.06661,0.05555,70,5
"Malawi",2000,"75-79",0.1127,0.09648,75,5
"Malawi",2000,"80-84",0.17777,0.15871,80,5
"Malawi",2000,"85-89",0.26569,0.24543,85,5
"Malawi",2000,"90-94",0.37622,0.35679,90,5
"Malawi",2000,"95-99",0.50475,0.48759,95,5
"Malawi",2000,"100+",0.6416,0.62639,100,5
"Malawi",2011,"<1",0.05763,0.05217,0,1
"Malawi",2011,"1-4",0.0084,0.00757,1,4
"Malawi",2011,"5-9",0.00305,0.00292,5,5
"Malawi",2011,"10-14",0.0023,0.00216,10,5
"Malawi",2011,"15-19",0.00197,0.0018,15,5
"Malawi",2011,"20-24",0.00266,0.00329,20,5
"Malawi",2011,"25-29",0.00497,0.00753,25,5
"Malawi",2011,"30-34",0.00749,0.01031,30,5
"Malawi",2011,"35-39",0.01277,0.0149,35,5
"Malawi",2011,"40-44",0.01556,0.01412,40,5
"Malawi",2011,"45-49",0.01743,0.01237,45,5
"Malawi",2011,"50-54",0.01586,0.00981,50,5
"Malawi",2011,"55-59",0.01804,0.01104,55,5
"Malawi",2011,"60-64",0.02242,0.01505,60,5
"Malawi",2011,"65-69",0.03478,0.02649,65,5
"Malawi",2011,"70-74",0.05854,0.04724,70,5
"Malawi",2011,"75-79",0.09829,0.0847,75,5
"Malawi",2011,"80-84",0.16326,0.14518,80,5
"Malawi",2011,"85-89",0.25368,0.23187,85,5
"Malawi",2011,"90-94",0.3687,0.34508,90,5
"Malawi",2011,"95-99",0.50126,0.47856,95,5
"Malawi",2011,"100+",0.63746,0.61843,100,5
